SKUDesc,ProvinceCode,SubChannelDesc,Final_Rank
milo_uht_180ml,3,01.Large Provision,1
milo_uhtlesssugar_180ml,3,01.Large Provision,2
milo_uht_115ml,3,01.Large Provision,3
maggi_l_oyster_350g,3,01.Large Provision,4
maggi_l_oyster_820g,3,01.Large Provision,5
milo_reg_jar_400g,3,01.Large Provision,6
nestea_lemon_sib,3,01.Large Provision,7
ncf_3in1_strsib20,3,01.Large Provision,8
milo_uht_180ml,4,01.Large Provision,1
milo_uht_115ml,4,01.Large Provision,2
milo_uhtlesssugar_180ml,4,01.Large Provision,3
maggi_l_oyster_820g,4,01.Large Provision,4
maggi_l_oyster_350g,4,01.Large Provision,5
milo_reg_jar_400g,4,01.Large Provision,6
milo_3in1_sic,4,01.Large Provision,7
nestea_lemon_sib,4,01.Large Provision,8
milo_uht_180ml,6,01.Large Provision,1
milo_uht_115ml,6,01.Large Provision,2
milo_uhtlesssugar_180ml,6,01.Large Provision,3
nestea_lemon_sib,6,01.Large Provision,4
maggi_l_oyster_820g,6,01.Large Provision,5
maggi_l_oyster_350g,6,01.Large Provision,6
milo_rtdtin_240ml,6,01.Large Provision,7
milo_reg_jar_400g,6,01.Large Provision,8
milo_uht_180ml,10,01.Large Provision,1
milo_uhtlesssugar_180ml,10,01.Large Provision,2
milo_uht_115ml,10,01.Large Provision,3
maggi_l_oyster_350g,10,01.Large Provision,4
maggi_l_oyster_820g,10,01.Large Provision,5
milo_reg_jar_400g,10,01.Large Provision,6
ncf_cfv_sib15,10,01.Large Provision,7
ncf_3in1_regsib20,10,01.Large Provision,8
milo_uht_180ml,11,01.Large Provision,1
milo_uht_115ml,11,01.Large Provision,2
milo_uhtlesssugar_180ml,11,01.Large Provision,3
nestea_lemon_sib,11,01.Large Provision,4
maggi_l_oyster_820g,11,01.Large Provision,5
milo_reg_jar_400g,11,01.Large Provision,6
maggi_l_oyster_350g,11,01.Large Provision,7
ncf_3in1_regsib20,11,01.Large Provision,8
milo_uht_180ml,12,01.Large Provision,1
milo_uhtlesssugar_180ml,12,01.Large Provision,2
milo_uht_115ml,12,01.Large Provision,3
maggi_l_oyster_350g,12,01.Large Provision,4
maggi_l_oyster_820g,12,01.Large Provision,5
ncf_3in1_regsib20,12,01.Large Provision,6
milo_reg_jar_400g,12,01.Large Provision,7
ncf_cfv_sib15,12,01.Large Provision,8
milo_uht_180ml,17,01.Large Provision,1
milo_uht_115ml,17,01.Large Provision,2
ncf_3in1_100x17_np,17,01.Large Provision,3
milo_uhtfino_180ml,17,01.Large Provision,4
ncf_3in1_regsib20,17,01.Large Provision,5
milo_3in1_sic,17,01.Large Provision,6
milo_uhtlesssugar_180ml,17,01.Large Provision,7
maggi_l_oyster_820g,17,01.Large Provision,8
milo_uht_180ml,18,01.Large Provision,1
milo_uht_115ml,18,01.Large Provision,2
milo_uhtlesssugar_180ml,18,01.Large Provision,3
ncf_3in1_regsib20,18,01.Large Provision,4
maggi_l_oyster_820g,18,01.Large Provision,5
maggi_l_soyacondensed_700ml,18,01.Large Provision,6
maggi_l_oyster_350g,18,01.Large Provision,7
nestea_lemon_sib,18,01.Large Provision,8
milo_uht_180ml,23,01.Large Provision,1
milo_uht_115ml,23,01.Large Provision,2
ncf_3in1_100x17_np,23,01.Large Provision,3
ncf_3in1_regsib20,23,01.Large Provision,4
milo_uhtlesssugar_180ml,23,01.Large Provision,5
milo_uhtfino_180ml,23,01.Large Provision,6
maggi_l_oyster_820g,23,01.Large Provision,7
ncf_3in1_regpoly46,23,01.Large Provision,8
milo_uht_180ml,27,01.Large Provision,1
milo_uht_115ml,27,01.Large Provision,2
ncf_3in1_regpoly46,27,01.Large Provision,3
milo_uhtfino_180ml,27,01.Large Provision,4
maggi_l_soyacondensed_700ml,27,01.Large Provision,5
milo_uhtlesssugar_180ml,27,01.Large Provision,6
maggi_l_oyster_820g,27,01.Large Provision,7
ncf_3in1_regsib20,27,01.Large Provision,8
milo_uht_180ml,29,01.Large Provision,1
milo_uht_115ml,29,01.Large Provision,2
ncf_cfv_poly35,29,01.Large Provision,3
ncf_3in1_regpoly46,29,01.Large Provision,4
milo_3in1_sic,29,01.Large Provision,5
maggi_l_oyster_820g,29,01.Large Provision,6
milo_reg_jar_400g,29,01.Large Provision,7
maggi_b_mushroom_450g,29,01.Large Provision,8
milo_uht_180ml,30,01.Large Provision,1
milo_uht_115ml,30,01.Large Provision,2
ncf_cfv_poly35,30,01.Large Provision,3
ncf_3in1_regpoly46,30,01.Large Provision,4
milo_3in1_sic,30,01.Large Provision,5
milo_uhtfino_180ml,30,01.Large Provision,6
ncf_3in1_regsib20,30,01.Large Provision,7
maggi_l_oyster_820g,30,01.Large Provision,8
milo_uht_180ml,32,01.Large Provision,1
milo_uht_115ml,32,01.Large Provision,2
milo_3in1_sic,32,01.Large Provision,3
milo_uhtfino_180ml,32,01.Large Provision,4
ncf_3in1_regsib20,32,01.Large Provision,5
maggi_l_soyacondensed_700ml,32,01.Large Provision,6
ncf_cfv_poly35,32,01.Large Provision,7
maggi_l_oyster_820g,32,01.Large Provision,8
milo_uht_180ml,33,01.Large Provision,1
milo_uht_115ml,33,01.Large Provision,2
ncf_cfv_poly35,33,01.Large Provision,3
milo_3in1_sic,33,01.Large Provision,4
milo_uhtfino_180ml,33,01.Large Provision,5
ncf_cfv_sic,33,01.Large Provision,6
maggi_l_soyacondensed_700ml,33,01.Large Provision,7
ncf_3in1_regsib20,33,01.Large Provision,8
