,SKUDesc,SubChanel,SKULabel,ProvinceCode,GroupChannel,model_prediction,SubChannelDesc,Start_date,Pred_Rank,Profitablity_Rank,Normalize_Profitablity,Normalize_Pred_rank,Composite_Rank,Final_Rank,Brand,Is_Top_Brand
0,milo_uht_180ml,103,PC185,1,TT,85.2626536593696,05.Milk shop,2023-12-01,1,1,-2.37668858890866,-1.7013926184468,-1.76892221549299,1,milo,yes
1,milo_uht_115ml,103,PC184,1,TT,67.4188747815127,05.Milk shop,2023-12-01,2,1,-2.37668858890866,-1.63952379595783,-1.71324027525291,2,milo,yes
2,milo_uhtlesssugar_180ml,103,PC191,1,TT,61.7586412212765,05.Milk shop,2023-12-01,3,1,-2.37668858890866,-1.57765497346885,-1.65755833501283,3,milo,yes
3,milo_reg_jar_400g,103,PC178,1,TT,33.9742017524951,05.Milk shop,2023-12-01,4,1,-2.37668858890866,-1.51578615097988,-1.60187639477276,4,milo,yes
4,milo_3in1_sic,103,PC175,1,TT,7.18778928589413,05.Milk shop,2023-12-01,9,1,-2.37668858890866,-1.206442038535,-1.32346669357237,5,milo,yes
5,nangum_rtd_grow_110ml,103,PC195,1,TT,14.2072310303636,05.Milk shop,2023-12-01,5,2,0.420753482246988,-1.4539173284909,-1.26645024741711,6,,no
6,nanoptipro_s2_400g,103,PC216,1,TT,4.77151379941343,05.Milk shop,2023-12-01,11,1,-2.37668858890866,-1.08270439355706,-1.21210281309222,7,,no
7,nestleyoguyogurt_stick,103,PC285,1,TT,13.2006586640811,05.Milk shop,2023-12-01,6,2,0.420753482246988,-1.39204850600193,-1.21076830717704,8,,no
8,milo_rtdsigactivgo_210ml,103,PC180,1,TT,7.59340976364697,05.Milk shop,2023-12-01,7,2,0.420753482246988,-1.33017968351295,-1.15508636693696,9,milo,yes
9,nestleyoguyogurt_stick_strw,103,PC287,1,TT,7.28222099071787,05.Milk shop,2023-12-01,8,2,0.420753482246988,-1.26831086102398,-1.09940442669688,10,,no
10,nesvita_bib20,103,PC288,1,TT,5.17670482827277,05.Milk shop,2023-12-01,10,2,0.420753482246988,-1.14457321604603,-0.988040546216728,11,,no
11,nanoptipro_s2_900g,103,PC217,1,TT,3.2725497070644,05.Milk shop,2023-12-01,16,1,-2.37668858890866,-0.773360281112183,-0.93369311189183,12,,no
12,nanoptipro_p3_850g,103,PC210,1,TT,4.64767241739082,05.Milk shop,2023-12-01,12,2,0.420753482246988,-1.02083557106808,-0.876676665736574,13,,no
13,al110_400g,103,PC3,1,TT,4.08962588061751,05.Milk shop,2023-12-01,13,2,0.420753482246988,-0.958966748579106,-0.820994725496497,14,,no
14,milo_rtdtin_240ml,103,PC183,1,TT,2.23992035838726,05.Milk shop,2023-12-01,19,1,-2.37668858890866,-0.587753813645259,-0.766647291171599,15,milo,yes
15,nanoptipro_p1_800g,103,PC206,1,TT,3.99641689762645,05.Milk shop,2023-12-01,14,2,0.420753482246988,-0.897097926090132,-0.76531278525642,16,,no
16,milo_uhtlesssugar_115ml,103,PC190,1,TT,3.48945333529095,05.Milk shop,2023-12-01,15,2,0.420753482246988,-0.835229103601157,-0.709630845016343,17,milo,yes
17,nestleyoguyogurt_stick_org,103,PC286,1,TT,2.98364778299752,05.Milk shop,2023-12-01,17,2,0.420753482246988,-0.711491458623208,-0.598266964536188,18,,no
18,nangum_rtd_hmo_115ml,103,PC197,1,TT,2.53821307764694,05.Milk shop,2023-12-01,18,2,0.420753482246988,-0.649622636134233,-0.542585024296111,19,,no
19,naninfinipro_s1_800g,103,PC201,1,TT,2.17402720159639,05.Milk shop,2023-12-01,20,2,0.420753482246988,-0.525884991156284,-0.431221143815957,20,,no
20,nangum_rtd_grow_180ml,103,PC196,1,TT,1.97841726618705,05.Milk shop,2023-12-01,21,2,0.420753482246988,-0.46401616866731,-0.37553920357588,21,,no
21,cerelac_vegypumpkin,103,PC15,1,TT,1.88734030197445,05.Milk shop,2023-12-01,22,2,0.420753482246988,-0.402147346178335,-0.319857263335803,22,,no
22,nanoptipro_p4_850g,103,PC212,1,TT,1.88553563668817,05.Milk shop,2023-12-01,23,2,0.420753482246988,-0.34027852368936,-0.264175323095726,23,,no
23,nesvita_lesssugar_bib16,103,PC289,1,TT,1.62920758283884,05.Milk shop,2023-12-01,24,2,0.420753482246988,-0.278409701200386,-0.208493382855648,24,,no
24,nansupreme_s2_800g,103,PC232,1,TT,1.24430936697271,05.Milk shop,2023-12-01,30,1,-2.37668858890866,0.092803233733462,-0.154145948530751,25,,no
25,naninfinipro_s2_800g,103,PC202,1,TT,1.62658194612193,05.Milk shop,2023-12-01,25,2,0.420753482246988,-0.216540878711411,-0.152811442615571,26,,no
26,nestleyoguyogurt_115ml,103,PC284,1,TT,1.60927287062235,05.Milk shop,2023-12-01,26,2,0.420753482246988,-0.154672056222437,-0.097129502375494,27,,no
27,nanoptipro_p1_400g,103,PC204,1,TT,1.41519119450664,05.Milk shop,2023-12-01,27,2,0.420753482246988,-0.092803233733462,-0.041447562135417,28,,no
28,milo_uhtbreakfast_180ml,103,PC188,1,TT,1.26949535262301,05.Milk shop,2023-12-01,28,2,0.420753482246988,-0.030934411244487,0.01423437810466,29,milo,yes
29,prenan_380g,103,PC295,1,TT,1.25257509092296,05.Milk shop,2023-12-01,29,2,0.420753482246988,0.030934411244487,0.069916318344737,30,,no
30,cerelac_brownrice,103,PC8,1,TT,1.07009333909815,05.Milk shop,2023-12-01,31,2,0.420753482246988,0.154672056222437,0.181280198824892,31,,no
